IP,延迟(ms),丢包率(%),速度(Mbps)
188.114.98.21,11.00,0.00,233.45
172.66.195.58,10.89,0.00,176.26
103.21.244.65,55.84,0.00,108.38
104.27.91.255,10.89,0.00,71.06
104.23.103.206,10.84,0.00,67.83
104.27.12.189,10.42,0.00,65.75
108.162.199.240,49.97,0.00,64.92
162.159.45.73,12.35,0.00,61.78
104.27.95.21,10.24,0.00,60.34
104.24.169.118,10.89,0.00,61.14
104.25.66.57,10.76,0.00,59.65
104.24.132.51,11.16,0.00,62.45
104.27.60.161,11.52,0.00,58.25
162.159.238.15,112.07,0.00,62.42
141.101.113.207,10.90,0.00,60.33
188.114.96.226,17.52,0.00,58.38
104.25.150.29,10.84,0.00,56.49
188.114.98.134,23.54,0.00,55.30
104.27.81.114,10.73,0.00,62.02
188.114.96.230,18.40,0.00,56.56
103.21.244.30,57.02,0.00,61.39
188.114.97.141,20.40,0.00,59.68
172.66.209.201,11.06,0.00,57.27
172.64.83.232,17.62,0.00,54.63
103.21.244.109,55.96,0.00,61.63
104.25.246.144,10.82,0.00,61.51
162.159.209.231,111.71,0.00,63.71
104.20.13.125,10.86,0.00,61.01
104.24.140.3,18.65,0.00,55.23
104.27.78.231,18.18,0.00,55.39
188.114.99.146,11.73,0.00,59.80
104.23.120.116,10.72,0.00,56.76
108.162.199.73,49.80,0.00,62.27
104.21.234.5,18.64,0.00,57.06
104.24.225.28,10.84,0.00,61.06
